key,en,pt,es,fr,it
Custom Query:,,Consulta personalizada:,Consulta personalizada:,Requête personnalisée :,Interrogazione personalizzata:
Custom Scenario Facts:,,Factos de cenário personalizados:,Hechos de escenario personalizados:,Faits de scénario personnalisés :,Fatti di scenario personalizzati:
Cut,,Cortar,Cortar,Couper,Taglia
Dagre (Hierarchical),,Dagre (hierárquico),Dagre (jerárquico),Dagre (hiérarchique),Dagre (gerarchico)
Dark,,Escuro,Oscuro,Sombre,Scuro
Dark Theme,,Tema escuro,Tema oscuro,Thème sombre,Tema scuro
declaration,,declaração,declaración,déclaration,dichiarazione
Detailed failure explanations (per-rule nodes),,Explicações de falha detalhadas (nós por regra),Explicaciones de fallo detalladas (nodos por regla),Explications d'échec détaillées (nœuds par règle),Spiegazioni di fallimento dettagliate (nodi per regola)
Direction,,Direção,Dirección,Direction,Direzione
ELK (Layered),,ELK (em camadas),ELK (por capas),ELK (en couches),ELK (a livelli)
Edge Types,,Tipos de arestas,Tipos de aristas,Types d'arêtes,Tipi di archi
Edit,,Editar,Editar,Modifier,Modifica
Edit Queries…,,Editar consultas…,Editar consultas…,Modifier les requêtes…,Modifica interrogazioni…
Edit Scenarios…,,Editar cenários…,Editar escenarios…,Modifier les scénarios…,Modifica scenari…
Enter facts here...,,Escreva factos aqui...,Escriba los hechos aquí...,Saisissez les faits ici...,Inserisci i fatti qui...
Enter query here...,,Escreva a consulta aqui...,Escriba la consulta aquí...,Saisissez la requête ici...,Inserisci l'interrogazione qui...
Expand All,,Expandir tudo,Expandir todo,Tout déplier,Espandi tutto
Explanation Drill,,Exploração da explicação,Exploración de la explicación,Exploration de l'explication,Esplorazione della spiegazione
Explanation Drill…,,Exploração da explicação…,Exploración de la explicación…,Exploration de l'explication…,Esplorazione della spiegazione…
Explanations Preferences,,Preferências das explicações,Preferencias de las explicaciones,Préférences des explications,Preferenze delle spiegazioni
fact,,facto,hecho,fait,fatto
File,,Ficheiro,Archivo,Fichier,File
Filter programs,,Filtrar programas,Filtrar programas,Filtrer les programmes,Filtra programmi
Filter…,,Filtrar…,Filtrar…,Filtrer…,Filtra…
Find,,Procurar,Buscar,Rechercher,Trova
Fit View,,Ajustar vista,Ajustar vista,Ajuster la vue,Adatta vista
Fit to Screen,,Ajustar ao ecrã,Ajustar a la pantalla,Ajuster à l'écran,Adatta allo schermo
Fold all rules for this predicate,,Colapsar todas as regras deste predicado,Plegar todas las reglas de este predicado,Replier toutes les règles de ce prédicat,Comprimi tutte le regole di questo predicato
Go back (to where you jumped from),,Voltar (para onde saltou),Volver (a donde saltó),Revenir (à l'endroit d'où vous avez sauté),Torna indietro (al punto da cui sei saltato)
Go to full sub-explanation,,Ir para a sub-explicação completa,Ir a la subexplicación completa,Aller à la sous-explication complète,Vai alla sotto-spiegazione completa
Google API Key:,,Chave de API Google:,Clave de API Google:,Clé d'API Google :,Chiave API Google:
Grid,,Grelha,Cuadrícula,Grille,Griglia
Groq API Key:,,Chave de API Groq:,Clave de API Groq:,Clé d'API Groq :,Chiave API Groq:
Help,,Ajuda,Ayuda,Aide,Aiuto
Hide repeated explanations,,Ocultar explicações repetidas,Ocultar explicaciones repetidas,Masquer les explications répétées,Nascondi spiegazioni ripetute
High Contrast,,Alto contraste,Alto contraste,Contraste élevé,Alto contrasto
Home,,Início,Inicio,Accueil,Home
Horizontal (L→R),,Horizontal (E→D),Horizontal (I→D),Horizontal (G→D),Orizzontale (S→D)
Insert into Editor,,Inserir no editor,Insertar en el editor,Insérer dans l'éditeur,Inserisci nell'editor
Interrupt,,Interromper,Interrumpir,Interrompre,Interrompi
Introduction to Logical English (tutorial),,Introdução ao Logical English (tutorial),Introducción a Logical English (tutorial),Introduction au Logical English (tutoriel),Introduzione al Logical English (tutorial)
Keys and preferences are stored in your browser's local storage.,,As chaves e preferências ficam guardadas no armazenamento local do seu navegador.,Las claves y preferencias se guardan en el almacenamiento local de su navegador.,Les clés et les préférences sont conservées dans le stockage local de votre navigateur.,Le chiavi e le preferenze sono salvate nell'archiviazione locale del tuo browser.
LE Debugger,,Depurador LE,Depurador LE,Débogueur LE,Debugger LE
LE Proof Game,,Jogo da Prova LE,Juego de la Prueba LE,Jeu de la preuve LE,Gioco della Prova LE
Large,,Grande,Grande,Grand,Grande
Layout,,Arranjo,Disposición,Disposition,Disposizione
Light,,Claro,Claro,Clair,Chiaro
Light Mode,,Modo leve,Modo ligero,Mode léger,Modalità leggera
"Light Mode runs a fast, in-process Prolog loop. Uncheck for Deep Mode (full opencode agent with file/web/shell tools).",,O Modo leve corre um ciclo Prolog rápido em processo. Desmarque para o Modo profundo (agente opencode completo com ficheiros/web/terminal).,El Modo ligero ejecuta un bucle Prolog rápido en proceso. Desmarque para el Modo profundo (agente opencode completo con herramientas de archivos/web/terminal).,Le Mode léger exécute une boucle Prolog rapide en interne. Décochez pour le Mode profond (agent opencode complet avec outils fichiers/web/terminal).,La Modalità leggera esegue un ciclo Prolog rapido in-process. Deseleziona per la Modalità profonda (agente opencode completo con strumenti file/web/shell).
Light Theme,,Tema claro,Tema claro,Thème clair,Tema chiaro
Load,,Carregar,Cargar,Charger,Carica
Loading models...,,A carregar modelos...,Cargando modelos...,Chargement des modèles...,Caricamento dei modelli...
Logical English,,Logical English,Logical English,Logical English,Logical English
Logical English syntax (reference),,Sintaxe do Logical English (referência),Sintaxis de Logical English (referencia),Syntaxe du Logical English (référence),Sintassi del Logical English (riferimento)
Medium,,Médio,Mediano,Moyen,Medio
Misc,,Diversos,Varios,Divers,Varie
Name,,Nome,Nombre,Nom,Nome
New,,Novo,Nuevo,Nouveau,Nuovo
New from URL,,Novo a partir de URL,Nuevo desde URL,Nouveau à partir d'une URL,Nuovo da URL
New from URL...,,Novo a partir de URL...,Nuevo desde URL...,Nouveau à partir d'une URL...,Nuovo da URL...
No definition found for,,Nenhuma definição encontrada para,No se encontró definición para,Aucune définition trouvée pour,Nessuna definizione trovata per
No occurrences found for,,Nenhuma ocorrência encontrada para,No se encontraron apariciones de,Aucune occurrence trouvée pour,Nessuna occorrenza trovata per
No rules for,,Sem regras para,Sin reglas para,Aucune règle pour,Nessuna regola per
Node Types,,Tipos de nós,Tipos de nodos,Types de nœuds,Tipi di nodi
None,,Nenhum,Ninguno,Aucun,Nessuno
Occurrences,,Ocorrências,Apariciones,Occurrences,Occorrenze
"Open Scenario Variations: alter the selected scenario and run one or more queries against the variation, in a separate window",,"Abrir Variações de Cenário: altere o cenário selecionado e corra uma ou mais consultas sobre a variação, numa janela separada","Abrir Variaciones de escenario: modifique el escenario seleccionado y ejecute una o más consultas sobre la variación, en una ventana separada","Ouvrir les Variations de scénario : modifiez le scénario sélectionné et exécutez une ou plusieurs requêtes sur la variation, dans une fenêtre séparée","Apri Variazioni di Scenario: modifica lo scenario selezionato ed esegui una o più interrogazioni sulla variazione, in una finestra separata"
Open example from server...,,Abrir exemplo do servidor...,Abrir ejemplo del servidor...,Ouvrir un exemple du serveur...,Apri esempio dal server...
Open example from server,,Abrir exemplo do servidor,Abrir ejemplo del servidor,Ouvrir un exemple du serveur,Apri esempio dal server
Open the Proof Game: interactively build a proof of the selected query by connecting its facts and rules,,Abrir o Jogo da Prova: construa interativamente uma prova da consulta selecionada ligando os seus factos e regras,Abrir el Juego de la Prueba: construya interactivamente una prueba de la consulta seleccionada conectando sus hechos y reglas,Ouvrir le Jeu de la preuve : construisez interactivement une preuve de la requête sélectionnée en reliant ses faits et ses règles,Apri il Gioco della Prova: costruisci interattivamente una prova dell'interrogazione selezionata collegando i suoi fatti e le sue regole
Open...,,Abrir...,Abrir...,Ouvrir...,Apri...
OpenAI API Key:,,Chave de API OpenAI:,Clave de API OpenAI:,Clé d'API OpenAI :,Chiave API OpenAI:
PROLOG Equivalent,,Equivalente PROLOG,Equivalente PROLOG,Équivalent PROLOG,Equivalente PROLOG
Paste,,Colar,Pegar,Coller,Incolla
Patch scenario,,Ajustar cenário,Ajustar escenario,Ajuster le scénario,Aggiusta scenario
Predicates Legend,,Legenda de predicados,Leyenda de predicados,Légende des prédicats,Legenda dei predicati
Preferences...,,Preferências...,Preferencias...,Préférences...,Preferenze...
Prefix for failed nodes:,,Prefixo para nós falhados:,Prefijo para nodos fallidos:,Préfixe pour les nœuds en échec :,Prefisso per i nodi falliti:
Proof Game,,Jogo da Prova,Juego de la Prueba,Jeu de la preuve,Gioco della Prova
Query,,Consulta,Consulta,Requête,Interrogazione
query,,consulta,consulta,requête,interrogazione
Query Editor,,Editor de consultas,Editor de consultas,Éditeur de requêtes,Editor delle interrogazioni
Query:,,Consulta:,Consulta:,Requête :,Interrogazione:
Redraw from here,,Redesenhar a partir daqui,Redibujar desde aquí,Redessiner à partir d'ici,Ridisegna da qui
Refresh,,Atualizar,Actualizar,Actualiser,Aggiorna
Replace,,Substituir,Reemplazar,Remplacer,Sostituisci
rule head,,cabeça de regra,cabeza de regla,tête de règle,testa di regola
Save,,Guardar,Guardar,Enregistrer,Salva
Save As...,,Guardar como...,Guardar como...,Enregistrer sous...,Salva come...
Scenario,,Cenário,Escenario,Scénario,Scenario
Scenario Editor,,Editor de cenários,Editor de escenarios,Éditeur de scénarios,Editor degli scenari
scenario fact,,facto de cenário,hecho de escenario,fait de scénario,fatto di scenario
Scenario Variations,,Variações de cenário,Variaciones de escenario,Variations de scénario,Variazioni di scenario
Scenario:,,Cenário:,Escenario:,Scénario :,Scenario:
Search nodes...,,Procurar nós...,Buscar nodos...,Rechercher des nœuds...,Cerca nodi...
Select a query...,,Selecione uma consulta...,Seleccione una consulta...,Sélectionnez une requête...,Seleziona un'interrogazione...
Select a scenario...,,Selecione um cenário...,Seleccione un escenario...,Sélectionnez un scénario...,Seleziona uno scenario...
Send,,Enviar,Enviar,Envoyer,Invia
Send command to the LE Assistant,,Enviar comando ao Assistente LE,Enviar comando al Asistente LE,Envoyer la commande à l'Assistant LE,Invia comando all'Assistente LE
Show definition,,Mostrar definição,Mostrar definición,Afficher la définition,Mostra definizione
Show occurrences,,Mostrar ocorrências,Mostrar apariciones,Afficher les occurrences,Mostra occorrenze
Show Proof,,Mostrar prova,Mostrar prueba,Montrer la preuve,Mostra prova
Show important reason,,Mostrar razão importante,Mostrar razón importante,Montrer la raison importante,Mostra ragione importante
Small,,Pequeno,Pequeño,Petit,Piccolo
Step,,Avançar,Avanzar,Avancer,Avanza
Step (F11) — advance one step to the next goal being proved. The call stack and the VARIABLES panel update to show the new position and any bindings made so far.,,Avançar (F11) — avança um passo até ao próximo objetivo a provar. A pilha de chamadas e o painel VARIÁVEIS atualizam-se com a nova posição e as ligações feitas até aí.,Avanzar (F11) — avanza un paso hasta el siguiente objetivo a probar. La pila de llamadas y el panel VARIABLES se actualizan para mostrar la nueva posición y las ligaduras hechas hasta el momento.,Avancer (F11) — avance d'un pas jusqu'au prochain objectif à prouver. La pile d'appels et le panneau VARIABLES se mettent à jour pour montrer la nouvelle position et les liaisons établies jusque-là.,Avanza (F11) — avanza di un passo fino al prossimo obiettivo da provare. La pila delle chiamate e il pannello VARIABILI si aggiornano mostrando la nuova posizione e le associazioni fatte finora.
Stop,,Parar,Parar,Arrêter,Ferma
Stop — end the trace and the query.,,Parar — termina o rastreio e a consulta.,Parar — termina el rastreo y la consulta.,Arrêter — termine le traçage et la requête.,Ferma — termina il tracciamento e l'interrogazione.
"The editor manual: files, queries, scenario/query editors, explanations.",,"O manual do editor: ficheiros, consultas, editores de cenários/consultas, explicações.","El manual del editor: archivos, consultas, editores de escenarios/consultas, explicaciones.","Le manuel de l'éditeur : fichiers, requêtes, éditeurs de scénarios/requêtes, explications.","Il manuale dell'editor: file, interrogazioni, editor di scenari/interrogazioni, spiegazioni."
The language reference: every LE construct.,,A referência da linguagem: todas as construções LE.,La referencia del lenguaje: todas las construcciones LE.,La référence du langage : toutes les constructions LE.,Il riferimento del linguaggio: tutti i costrutti LE.
This prefix is prepended to failed nodes when copying explanations to plain text or HTML.,,Este prefixo é anteposto aos nós falhados ao copiar explicações para texto simples ou HTML.,Este prefijo se antepone a los nodos fallidos al copiar explicaciones a texto plano o HTML.,Ce préfixe est ajouté devant les nœuds en échec lors de la copie des explications en texte brut ou en HTML.,Questo prefisso viene anteposto ai nodi falliti quando si copiano le spiegazioni in testo semplice o HTML.
Together API Key:,,Chave de API Together:,Clave de API Together:,Clé d'API Together :,Chiave API Together:
Trace,,Rastrear,Rastrear,Tracer,Traccia
Type Hierarchy,,Hierarquia de tipos,Jerarquía de tipos,Hiérarchie de types,Gerarchia dei tipi
Unfold all rules for this predicate,,Expandir todas as regras deste predicado,Desplegar todas las reglas de este predicado,Déplier toutes les règles de ce prédicat,Espandi tutte le regole di questo predicato
URL of a Logical English program:,,URL de um programa Logical English:,URL de un programa Logical English:,URL d'un programme Logical English :,URL di un programma Logical English:
Using this editor (manual),,Usar este editor (manual),Usar este editor (manual),Utiliser cet éditeur (manuel),Usare questo editor (manuale)
Vertical (T→B),,Vertical (C→B),Vertical (A→B),Vertical (H→B),Verticale (A→B)
View Source Graph,,Ver grafo do programa,Ver grafo del programa,Voir le graphe du programme,Visualizza grafo del programma
"Visualize the program's templates, rules, facts, scenarios and queries as a dependency graph, in a new browser tab",,"Visualizar os modelos, regras, factos, cenários e consultas do programa como um grafo de dependências, num novo separador","Visualizar las plantillas, reglas, hechos, escenarios y consultas del programa como un grafo de dependencias, en una nueva pestaña del navegador","Visualiser les modèles, règles, faits, scénarios et requêtes du programme sous forme de graphe de dépendances, dans un nouvel onglet du navigateur","Visualizza i modelli, le regole, i fatti, gli scenari e le interrogazioni del programma come grafo delle dipendenze, in una nuova scheda del browser"
"When on (the default), a sub-explanation that occurs several times in a success or failure explanation is shown once and tagged with its count. Turn off to see every occurrence in full (larger trees).",,"Quando ativo (predefinição), uma sub-explicação que ocorre várias vezes numa explicação é mostrada uma vez com a sua contagem. Desative para ver todas as ocorrências por extenso (árvores maiores).","Cuando está activo (opción predeterminada), una subexplicación que aparece varias veces en una explicación de éxito o de fallo se muestra una vez y se etiqueta con su recuento. Desactívelo para ver todas las apariciones completas (árboles más grandes).","Quand elle est activée (par défaut), une sous-explication qui apparaît plusieurs fois dans une explication de succès ou d'échec est montrée une seule fois avec son nombre d'occurrences. Désactivez pour voir chaque occurrence en entier (arbres plus grands).","Quando attivo (impostazione predefinita), una sotto-spiegazione che ricorre più volte in una spiegazione di successo o di fallimento viene mostrata una volta sola con il suo conteggio. Disattiva per vedere ogni occorrenza per esteso (alberi più grandi)."
"When on, a failed predicate with several rules shows an intermediate node per rule (navigable to that rule), with each rule's failed sub-goals beneath it. Slower; off by default.",,"Quando ativo, um predicado falhado com várias regras mostra um nó intermédio por regra (navegável até à regra), com os sub-objetivos falhados por baixo. Mais lento; desativado por predefinição.","Cuando está activo, un predicado fallido con varias reglas muestra un nodo intermedio por regla (navegable hasta esa regla), con los subobjetivos fallidos de cada regla debajo. Más lento; desactivado de forma predeterminada.","Quand elle est activée, un prédicat en échec avec plusieurs règles montre un nœud intermédiaire par règle (navigable vers cette règle), avec les sous-objectifs en échec de chaque règle en dessous. Plus lent ; désactivé par défaut.","Quando attivo, un predicato fallito con più regole mostra un nodo intermedio per regola (navigabile fino a quella regola), con i sotto-obiettivi falliti di ciascuna regola al di sotto. Più lento; disattivato per impostazione predefinita."
Zoom In,,Ampliar,Acercar,Zoom avant,Ingrandisci
Zoom Out,,Reduzir,Alejar,Zoom arrière,Riduci
and,,e,y,et,e
fCoSE (Default),,fCoSE (predefinição),fCoSE (predeterminado),fCoSE (par défaut),fCoSE (predefinito)
not,,não,no,non,non
or,,ou,o,ou,o
query name,,nome da consulta,nombre de la consulta,nom de la requête,nome dell'interrogazione
scenario name,,nome do cenário,nombre del escenario,nom du scénario,nome dello scenario
Are you sure you want to miss the excitement of finding the proof yourself?,,Tem a certeza de que quer perder a emoção de encontrar a prova por si mesmo?,¿Está seguro de que quiere perderse la emoción de encontrar la prueba usted mismo?,Êtes-vous sûr de vouloir manquer le plaisir de trouver la preuve vous-même ?,Sei sicuro di voler perdere l'emozione di trovare la prova da solo?
No proof found for this query.,,Nenhuma prova encontrada para esta consulta.,No se encontró ninguna prueba para esta consulta.,Aucune preuve trouvée pour cette requête.,Nessuna prova trovata per questa interrogazione.
No answer: build the proof that this query FAILS,,Sem resposta: construa a prova de que esta consulta FALHA,Sin respuesta: construya la prueba de que esta consulta FALLA,Aucune réponse : construisez la preuve que cette requête ÉCHOUE,Nessuna risposta: costruisci la prova che questa interrogazione FALLISCE
(empty),,(vazio),(vacío),(vide),(vuoto)
A query name must be a single word or number (no spaces).,,O nome de uma consulta tem de ser uma única palavra ou número (sem espaços).,El nombre de una consulta debe ser una sola palabra o número (sin espacios).,Le nom d'une requête doit être un seul mot ou un nombre (sans espaces).,Il nome di un'interrogazione deve essere una singola parola o un numero (senza spazi).
A scenario name must be a single word (no spaces).,,O nome de um cenário tem de ser uma única palavra (sem espaços).,El nombre de un escenario debe ser una sola palabra (sin espacios).,Le nom d'un scénario doit être un seul mot (sans espaces).,Il nome di uno scenario deve essere una singola parola (senza spazi).
Accept?,,Aceitar?,¿Aceptar?,Accepter ?,Accettare?
Not yet,,Ainda não,Todavía no,Pas encore,Non ancora
Add a query first.,,Adicione primeiro uma consulta.,Añada primero una consulta.,Ajoutez d'abord une requête.,Aggiungi prima un'interrogazione.
Add at least one condition to the query.,,Adicione pelo menos uma condição à consulta.,Añada al menos una condición a la consulta.,Ajoutez au moins une condition à la requête.,Aggiungi almeno una condizione all'interrogazione.
Another...,,Outra...,Otra...,Une autre...,Un'altra...
"Answer the highlighted question, or revise an earlier one.",,"Responda à pergunta destacada, ou reveja uma anterior.","Responda a la pregunta destacada, o revise una anterior.","Répondez à la question mise en évidence, ou révisez une question antérieure.","Rispondi alla domanda evidenziata, o rivedi una precedente."
Click to show this in the editor,,Clique para mostrar no editor,Haga clic para mostrarlo en el editor,Cliquez pour l'afficher dans l'éditeur,Fai clic per mostrarlo nell'editor
"Configure an LLM model first: in the main editor, Misc → API Keys…",,"Configure primeiro um modelo LLM: no editor principal, Diversos → Chaves de API…","Configure primero un modelo LLM: en el editor principal, Varios → Claves de API…","Configurez d'abord un modèle LLM : dans l'éditeur principal, Divers → Clés d'API…","Configura prima un modello LLM: nell'editor principale, Varie → Chiavi API…"
Connecting to debugger...,,A ligar ao depurador...,Conectando al depurador...,Connexion au débogueur...,Connessione al debugger...
Copied to clipboard,,Copiado para a área de transferência,Copiado al portapapeles,Copié dans le presse-papiers,Copiato negli appunti
Copied!,,Copiado!,¡Copiado!,Copié !,Copiato!
Copied,,Copiado,Copiado,Copié,Copiato
Copy URL is only available for existing examples.,,Copiar URL só está disponível para exemplos existentes.,Copiar URL solo está disponible para ejemplos existentes.,Copier l'URL n'est disponible que pour les exemples existants.,Copia URL è disponibile solo per gli esempi esistenti.
Copy the query text:,,Copie o texto da consulta:,Copie el texto de la consulta:,Copiez le texte de la requête :,Copia il testo dell'interrogazione:
Copy the scenario text:,,Copie o texto do cenário:,Copie el texto del escenario:,Copiez le texte du scénario :,Copia il testo dello scenario:
Could not load the program on the server.,,Não foi possível carregar o programa no servidor.,No se pudo cargar el programa en el servidor.,Impossible de charger le programme sur le serveur.,Impossibile caricare il programma sul server.
Could not reach the server.,,Não foi possível contactar o servidor.,No se pudo contactar con el servidor.,Impossible de joindre le serveur.,Impossibile contattare il server.
Debugger connected. Initializing...,,Depurador ligado. A inicializar...,Depurador conectado. Inicializando...,Débogueur connecté. Initialisation...,Debugger connesso. Inizializzazione...
Debugger disconnected.,,Depurador desligado.,Depurador desconectado.,Débogueur déconnecté.,Debugger disconnesso.
Delete condition,,Eliminar condição,Eliminar condición,Supprimer la condition,Elimina condizione
Delete this question,,Eliminar esta pergunta,Eliminar esta pregunta,Supprimer cette question,Elimina questa domanda
Delete,,Eliminar,Eliminar,Supprimer,Elimina
Discard unsaved changes and load the selected query?,,Descartar alterações não guardadas e carregar a consulta selecionada?,¿Descartar los cambios no guardados y cargar la consulta seleccionada?,Abandonner les modifications non enregistrées et charger la requête sélectionnée ?,Scartare le modifiche non salvate e caricare l'interrogazione selezionata?
Discard unsaved changes and load the selected scenario?,,Descartar alterações não guardadas e carregar o cenário selecionado?,¿Descartar los cambios no guardados y cargar el escenario seleccionado?,Abandonner les modifications non enregistrées et charger le scénario sélectionné ?,Scartare le modifiche non salvate e caricare lo scenario selezionato?
Done,,Concluído,Concluido,Terminé,Fatto
Download,,Transferir,Descargar,Télécharger,Scarica
Error connecting to server for game data.,,Erro ao ligar ao servidor para obter os dados do jogo.,Error al conectar con el servidor para obtener los datos del juego.,Erreur de connexion au serveur pour obtenir les données du jeu.,Errore di connessione al server per i dati del gioco.
Error executing query.,,Erro ao executar a consulta.,Error al ejecutar la consulta.,Erreur lors de l'exécution de la requête.,Errore nell'esecuzione dell'interrogazione.
Error loading module: ,,Erro ao carregar o módulo: ,Error al cargar el módulo: ,Erreur lors du chargement du module : ,Errore nel caricamento del modulo: 
Error: ,,Erro: ,Error: ,Erreur : ,Errore: 
Explanation,,Explicação,Explicación,Explication,Spiegazione
Failed to get game data from server.,,Falha ao obter os dados do jogo do servidor.,No se pudieron obtener los datos del juego del servidor.,Échec de l'obtention des données du jeu depuis le serveur.,Impossibile ottenere i dati del gioco dal server.
Failed to load example from server.,,Falha ao carregar o exemplo do servidor.,No se pudo cargar el ejemplo del servidor.,Échec du chargement de l'exemple depuis le serveur.,Impossibile caricare l'esempio dal server.
Generate,,Gerar,Generar,Générer,Genera
Generating and verifying…,,A gerar e verificar…,Generando y verificando…,Génération et vérification…,Generazione e verifica in corso…
Indent (nest this condition to bind tighter),,Indentar (aninhar esta condição para ligar mais estreitamente),Indentar (anidar esta condición para que ligue más estrechamente),Indenter (imbriquer cette condition pour une liaison plus étroite),Indenta (annida questa condizione per legarla più strettamente)
Insert anyway,,Inserir mesmo assim,Insertar de todos modos,Insérer quand même,Inserisci comunque
Inserted into editor,,Inserido no editor,Insertado en el editor,Inséré dans l'éditeur,Inserito nell'editor
Interrupting…,,A interromper…,Interrumpiendo…,Interruption…,Interruzione in corso…
