class,copula,is|are|was|were,é|são|era|eram|foi|foram|está|estão|estava|estavam,es|son|era|eran|fue|fueron|está|están|estaba|estaban,est|sont|était|étaient|fut|furent,è|sono|era|erano|fu|furono|sta|stanno
class,definite_article,the,o|a|os|as,el|la|los|las,le|la|les,il|lo|la|i|gli|le
class,determiner_definite,this,este|esta|esse|essa,este|esta|ese|esa,ce|cette|cet,questo|questa|quel|quella
class,each,each,cada,cada,chaque,ogni|ciascun|ciascuna
class,wh_var,which|what,qual|quais,cuál|cuáles|qué,quel|quelle|quels|quelles,quale|quali
class,who,who,quem,quién,qui,chi
class,what,what,quê,qué,quoi,cosa
class,when,when,quando,cuándo,quand,quando
class,where,where,onde,dónde,où,dove
class,which,which,qual|quais,cuál|cuáles,quel|quelle|quels|quelles,quale|quali
class,meta_marker,that|says,que|diz,que|dice,que|dit,che|dice
class,that,that,que,que,que,che
isa,is_a,is a|is an|is of,é um|é uma|é de,es un|es una|es de,est un|est une|est de,è un|è una|è uno|è di
aggregate,sum,sum,soma,suma,somme,somma
aggregate,count,count,contagem,recuento|cuenta,compte|nombre,conteggio|conto
aggregate,average,average,média,promedio|media,moyenne,media
aggregate,min,minimum|min,mínimo|mín,mínimo|mín,minimum|min,minimo|min
aggregate,max,maximum|max,máximo|máx,máximo|máx,maximum|max,massimo|max
aggregate,is_the,is the,é a|é o,es la|es el,est la|est le,è la|è il
aggregate,of_each,of each,de cada,de cada,de chaque,di ogni|di ciascun
aggregate,such_that,such that,tal que|tais que,tal que|tales que,tel que|telle que|tels que,tale che|tali che
answer,assuming,assuming,assumindo,asumiendo|suponiendo,en supposant|supposant,assumendo|supponendo
answer,assuming_and,and,e,y,et,e
class,article_narrow,a|an|the,um|uma|o|a|os|as,un|una|el|la|los|las,un|une|le|la|les,un|una|uno|il|lo|la|i|gli|le
class,connective_heuristic,a|an|the|in|on|at|to|from|of|by|for|with|between|and|or|is|are|was|were|that|than|as|into|over|under|within,um|uma|o|a|os|as|em|no|na|nos|nas|para|de|do|da|dos|das|por|com|entre|e|ou|é|são|era|eram|que|como|sob|sobre|dentro,un|una|el|la|los|las|en|del|al|para|de|por|con|entre|y|o|es|son|era|eran|que|como|sobre|bajo|dentro,un|une|le|la|les|dans|en|au|aux|du|des|pour|de|par|avec|entre|et|ou|est|sont|était|étaient|que|comme|sous|sur,un|una|uno|il|lo|la|i|gli|le|in|nel|nella|per|di|del|della|da|con|tra|fra|e|o|è|sono|era|erano|che|come|sotto|sopra|dentro
fact_addition,image,image,imagem,imagen,image,immagine
lps,lps_when,when,quando,cuando,quand,quando
lps,lps_then,then,então,entonces,alors,allora
lps,lps_if,if,se,si,si,se
lps,lps_initially,initially,inicialmente,inicialmente,initialement,inizialmente
lps,lps_must_not,it must not be true that,não pode ser verdade que,no puede ser cierto que,il ne doit pas être vrai que,non deve essere vero che
lps,lps_goal,the goal is that,o objetivo é que,el objetivo es que,le but est que,l'obiettivo è che
lps,lps_initiate,initiate,iniciar,iniciar,initier,iniziare
lps,lps_terminate,terminate,terminar,terminar,terminer,terminare
lps,lps_that_is,that is,que é,que es,qui est,che è
lps,lps_becomes,becomes,torna-se,se convierte en,devient,diventa
lps,lps_at,at,em,en,à,a
lps,lps_from,from,de,desde,de,da
lps,lps_to,to,até,hasta,jusqu'à,fino a
lps,lps_max_time,the maximum time is,o tempo máximo é,el tiempo máximo es,le temps maximum est,il tempo massimo è
lps,lps_max_real_time,the maximum real time is,o tempo real máximo é,el tiempo real máximo es,le temps réel maximum est,il tempo reale massimo è
lps,lps_min_cycle_time,the minimum cycle time is,o tempo mínimo de ciclo é,el tiempo mínimo de ciclo es,le temps de cycle minimum est,il tempo minimo di ciclo è
section,provenance_required,scenario facts require provenance,os factos do cenário exigem proveniência|os fatos do cenário exigem proveniência,los hechos del escenario requieren procedencia,les faits du scénario exigent une provenance,i fatti dello scenario richiedono una provenienza
template_addition,judged,judged|open textured|evaluative,julgado|julgada|avaliativo|avaliativa,juzgado|juzgada|evaluativo|evaluativa,jugé|jugée|évaluatif|évaluative,giudicato|giudicata|valutativo|valutativa
provenance,according_to,according to,de acordo com|segundo,de acuerdo con|según,selon|suivant,secondo|stando a
provenance,as_stated_in,as stated in,conforme consta em|conforme consta no|conforme consta na,como consta en|según consta en,comme indiqué dans,come indicato in|come risulta da
provenance,at_locator,at,em|na|no,en,à|au,a|al|alla
provenance,because,because,porque,porque,parce que|car,perché|poiché
provenance,with_provenance,with provenance,com proveniência,con procedencia,avec provenance,con provenienza
provenance,confer,confer,confer|confira,confer|véase,confer|voir,confer|confronta
connective,otherwise,otherwise,caso contrário|senão,de lo contrario|si no,sinon|autrement,altrimenti
table,table_open,the table,a tabela,la tabla,la table,la tabella
table,table_word,table,tabela,tabla,table,tabella
table,table_loaded_from,loaded from,carregada de|carregada a partir de,cargada de|cargada desde,chargée depuis|chargée de,caricata da
table,table_with,with,com,con,avec,con
table,first_match,first match,primeira correspondência,primera coincidencia,première correspondance,prima corrispondenza
table,all_matches,all matches,todas as correspondências,todas las coincidencias,toutes les correspondances,tutte le corrispondenze
table,unique_match,unique match,correspondência única,coincidencia única,correspondance unique,corrispondenza unica
table,table_any,any,qualquer,cualquiera,quelconque,qualsiasi
decision_section,section_applicability,applicability,aplicabilidade,aplicabilidad,applicabilité,applicabilità
decision_section,section_question,question,questão,cuestión,question,questione
decision_section,section_remedy,remedy,remédio|reparação,remedio|reparación,remède|réparation,rimedio
section,services_include,includes these services,inclui estes serviços,incluye estos servicios,comprend ces services|inclut ces services,include questi servizi
service,service_at,at,em,en,à,a
service,service_as,as a|as an|as,como um|como uma|como,como un|como una|como,comme un|comme une|comme,come un|come una|come
template_addition,via_service,via service,via serviço|através do serviço,vía servicio|mediante el servicio,via le service|via service,tramite il servizio|via servizio
service,kind_semantic_matcher,semantic matcher,comparador semântico,comparador semántico,comparateur sémantique,comparatore semantico
query,flip_query,which minimal change to the scenario makes it the case that|which minimal changes to the scenario make it the case that,que alteração mínima ao cenário faz com que|que alterações mínimas ao cenário fazem com que,qué cambio mínimo al escenario hace que|qué cambios mínimos al escenario hacen que,quel changement minimal du scénario fait que|quels changements minimaux du scénario font que,quale cambiamento minimo dello scenario fa sì che|quali cambiamenti minimi dello scenario fanno sì che
expect,changes,changes,alterações,cambios,changements,cambiamenti
view,view_open,the view,a vista,la vista,la vue,la vista
view,view_title,the title is,o título é,el título es,le titre est,il titolo è
view,view_case_scenario,the case is a scenario,o caso é um cenário,el caso es un escenario,le cas est un scénario,il caso è uno scenario
view,view_with_documents,with the documents it is stated in|with the document it is stated in,com os documentos em que consta|com o documento em que consta,con los documentos en que consta|con el documento en que consta,avec les documents où il est énoncé|avec le document où il est énoncé,con i documenti in cui è indicato|con il documento in cui è indicato
view,view_case_about,the case is about,o caso é sobre,el caso trata de,le cas porte sur,il caso riguarda
view,view_facts_about,the facts about,os factos sobre|os fatos sobre,los hechos sobre,les faits concernant,i fatti su
view,view_are,are,são,son,sont,sono
view,view_judgments,the judgments are,os juízos são,los juicios son,les jugements sont,i giudizi sono
view,view_other_facts,the other facts can be added,os outros factos podem ser acrescentados|os outros fatos podem ser acrescentados,los demás hechos pueden añadirse,les autres faits peuvent être ajoutés,gli altri fatti possono essere aggiunti
view,view_no_other_facts,the other facts cannot be added,os outros factos não podem ser acrescentados|os outros fatos não podem ser acrescentados,los demás hechos no pueden añadirse,les autres faits ne peuvent pas être ajoutés,gli altri fatti non possono essere aggiunti
view,view_sources,every fact shows who states it,cada facto mostra quem o afirma|cada fato mostra quem o afirma,cada hecho muestra quién lo afirma,chaque fait montre qui le déclare,ogni fatto mostra chi lo afferma
view,view_one_at_a_time,the facts are asked one at a time,os factos são perguntados um de cada vez|os fatos são perguntados um de cada vez,los hechos se preguntan uno a uno,les faits sont demandés un par un,i fatti sono chiesti uno alla volta
view,view_question_for,the question for,a pergunta para,la pregunta para,la question pour,la domanda per
view,view_result_query,the result is the answer to query,o resultado é a resposta à consulta,el resultado es la respuesta a la consulta,le résultat est la réponse à la requête,il risultato è la risposta alla interrogazione
view,view_headed_by,headed by,encabeçado por,encabezado por,mené par,guidato da
view,view_in,in,em,en,en,in
view,view_result_whether,the result is whether,o resultado é se,el resultado es si,le résultat est si,il risultato è se
view,view_result_reads,the result reads,o resultado diz,el resultado dice,le résultat dit,il risultato dice
view,view_when_holds,when it holds,quando se verifica,cuando se cumple,quand il est vrai,quando vale
view,view_when_not,when it does not,quando não se verifica,cuando no se cumple,quand il est faux,quando non vale
view,view_citations,the result shows its citations,o resultado mostra as suas citações,el resultado muestra sus citas,le résultat montre ses citations,il risultato mostra le sue citazioni
view,view_reasons,the result shows its reasons,o resultado mostra as suas razões,el resultado muestra sus razones,le résultat montre ses raisons,il risultato mostra le sue ragioni
view,view_stage,the result shows the stage it reaches,o resultado mostra a etapa que alcança,el resultado muestra la etapa que alcanza,le résultat montre le stade atteint,il risultato mostra la fase raggiunta
view,view_missing,the result asks what is missing,o resultado pergunta o que falta,el resultado pregunta lo que falta,le résultat demande ce qui manque,il risultato chiede ciò che manca
view,view_flipped,the result can be flipped,o resultado pode ser invertido,el resultado puede invertirse,le résultat peut être inversé,il risultato può essere invertito
view,view_as,as,como,como,comme,come
view,view_compare,the result is compared with scenario,o resultado é comparado com o cenário,el resultado se compara con el escenario,le résultat est comparé au scénario,il risultato è confrontato con lo scenario
view,view_answers_to,the answers to,as respostas a,las respuestas a,les réponses à,le risposte a
view,view_listed_as,are listed as,são listadas como,se listan como,sont listées comme,sono elencate come
view,view_documents,the documents of the case are shown beside the facts|the document of the case is shown beside the facts,os documentos do caso são mostrados ao lado dos factos|o documento do caso é mostrado ao lado dos factos,los documentos del caso se muestran junto a los hechos|el documento del caso se muestra junto a los hechos,les documents du cas sont montrés à côté des faits|le document du cas est montré à côté des faits,i documenti del caso sono mostrati accanto ai fatti|il documento del caso è mostrato accanto ai fatti
view,view_cases,the cases are listed with their results,os casos são listados com os seus resultados,los casos se listan con sus resultados,les cas sont listés avec leurs résultats,i casi sono elencati con i loro risultati
view,view_draft,the draft reads,o rascunho diz,el borrador dice,le brouillon dit,la bozza dice
